object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
hssb-mockup-1,HSSB Mockup,Hand-drawn watercolor illustration of the HSSB.,yes,Zimmer Gunsul Frasca Partnership,A rendering of the HSSB in watercolor. This design is closest to the final building.,,,1991,Architectural Rendering,"HSSB, watercolor, rendering, 1996","University of California, Santa Barbara Campus Building records, Architecture and Design Collection. Art, Design & Architecture Museum; University of California, Santa Barbara.",Courtesy of Jarett Henderson and the UCSB AD&A Museum,,
hssb-mockup-2,HSSB Mockup (unbuilt),HSSB mockup with a light tower,,Zimmer Gunsul Frasca Architects,"A watercolor rendering of a potential design for the HSSB, with a light tower as the central feature.",,,1991,"Architectural Rendering ","HSSB, rendering, 1996, design","University of California, Santa Barbara Campus Building records, Architecture and Design Collection. Art, Design & Architecture Museum; University of California, Santa Barbara.",Courtesy of Jarett Henderson and UCSB's AD&A Museum,,
site-map,Site Plan,The site plan for the HSSB.,,ZGF Partnership,"The site plan of the HSSB, showing where it is in the context of campus.",,,1991,Plan,"Plan, HSSB, UCSB, campus","University of California, Santa Barbara Campus Building records, Architecture and Design Collection. Art, Design & Architecture Museum; University of California, Santa Barbara.",Courtesy of Jarett Henderson and UCSB's AD&A Museum,,
screenshot-20260528-at-11018-pm,New Building to Store Ancient Native Artifacts,Nexus Article describing the HSSB's repository.,yes,Matt Gambee,"A Daily Nexus article from Wednesday, June 28, 1995. Discusses the repository under the HSSB.",,,1995,News Article,"Indigenous artifacts, HSSB, 1990s, NAGPRA",UCSB Daily Nexus and antecedent newspapers,Courtesy of UCSB Library,,
view-of-base,World War II Marine base and future site of UC Santa Barbara: aerial view of site and coastline,view of base,,"University of California, Santa Barbara","An aerial photograph of the Goleta Mesa, where a US Marine Air base was stationed during World War II. This was before development on any University buildings on the site.",,,1950s,Aerial Photograph,"UCSB campus, Goleta","University of California, Santa Barbara Campus Building records, Architecture and Design Collection. Art, Design & Architecture Museum; University of California, Santa Barbara.",Courtesy of Calisphere,,
california-native-culture,California -- Native Culture,California -- Native Culture,,H.N. Bagley,A map from the early 20th century labeling the Indigenous cultures native to California.,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~234860~5510406/manifest,,1904,Map,"Indigenous cultures, Chumash, California",UC Berkeley Geography Department,David Rumsey Historical Map Collection,"https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~234860~5510406/full/!96,96/0/default.jpg",
b1f1044e754f1e973db6dc1de41eacac,Long Range Plan---1990,1990s Long Range Plan illustration,yes,"University of California, Santa Barbara, planning department",An illustration of the 1990 LRDP.,,,1990,Image,"1990s, UCSB, campus, planning","University of California, Santa Barbara Campus Building records, Architecture and Design Collection. Art, Design & Architecture Museum; University of California, Santa Barbara.",Courtesy of the AD&A Museum at UCSB,,
